time 	 RH 	 LH 
7691	 7691	 7691 
000.076	50.0000	50.0000	
000.107	50.0000	50.0000	
000.191	50.0000	50.0000	
000.243	50.0000	50.0000	
000.308	50.0000	50.0000	
000.357	50.0000	50.0000	
000.433	50.0000	50.0000	
000.492	50.0000	50.0000	
000.553	50.0000	50.0000	
000.615	50.0000	50.0000	
000.674	50.0000	50.0000	
000.735	50.0000	50.0000	
000.811	48.7681	51.2319	
000.874	47.5305	52.4695	
000.925	46.2711	53.7289	
000.995	45.0941	54.9059	
001.062	43.9455	56.0545	
001.112	42.9360	57.0640	
001.182	41.8954	58.1046	
001.241	40.9701	59.0298	
001.307	40.2347	59.7653	
001.362	39.5277	60.4723	
001.425	39.4256	60.5744	
001.494	39.2846	60.7154	
001.548	38.7910	61.2090	
001.612	38.0886	61.9114	
001.677	37.6258	62.3742	
001.738	37.8019	62.1981	
001.801	37.9302	62.0698	
001.864	37.8465	62.1535	
001.925	37.9240	62.0760	
001.989	37.8946	62.1054	
002.052	37.6361	62.3639	
002.117	37.5751	62.4249	
002.181	37.6717	62.3283	
002.237	37.7616	62.2384	
002.300	37.5924	62.4076	
002.364	37.4077	62.5923	
002.424	36.8918	63.1082	
002.493	36.3120	63.6880	
002.550	35.7208	64.2792	
002.614	35.3566	64.6434	
002.679	35.1554	64.8446	
002.733	35.2310	64.7690	
002.805	35.6753	64.3247	
002.863	36.5004	63.4996	
002.925	37.4882	62.5118	
002.992	38.5023	61.4977	
003.043	39.5693	60.4307	
003.118	40.7063	59.2937	
003.184	42.1373	57.8627	
003.234	43.3977	56.6023	
003.305	44.4146	55.5854	
003.371	45.6377	54.3623	
003.425	46.8321	53.1679	
003.489	47.7926	52.2074	
003.549	48.6541	51.3459	
003.612	49.1220	50.8780	
003.680	49.3814	50.6186	
003.741	49.4052	50.5948	
003.803	49.6651	50.3349	
003.869	49.6060	50.3940	
003.933	49.1798	50.8202	
003.981	48.6244	51.3756	
004.042	48.1391	51.8609	
004.117	47.9367	52.0633	
004.174	48.1780	51.8220	
004.240	48.5682	51.4318	
004.303	49.6378	50.3622	
004.368	50.7843	49.2157	
004.427	51.9343	48.0657	
004.491	53.3993	46.6007	
004.551	54.9423	45.0577	
004.615	56.5882	43.4118	
004.678	58.3859	41.6141	
004.739	60.1676	39.8324	
7693	 7693	 7693 
004.808	61.9337	38.0663	
004.858	61.9337	38.0663	
004.922	61.9337	38.0663	
004.986	61.9337	38.0663	
005.040	61.9337	38.0663	
005.106	61.9337	38.0663	
005.171	61.9337	38.0663	
005.232	61.9337	38.0663	
005.295	61.9337	38.0663	
005.359	61.9337	38.0663	
005.419	61.9337	38.0663	
005.484	61.9337	38.0663	
005.545	61.9337	38.0663	
005.608	61.9337	38.0663	
005.672	61.9337	38.0663	
005.732	61.9337	38.0663	
005.791	61.9337	38.0663	
005.855	61.9337	38.0663	
005.915	61.9337	38.0663	
005.980	61.9337	38.0663	
006.040	61.9337	38.0663	
006.109	61.9337	38.0663	
006.174	61.9337	38.0663	
006.233	61.9337	38.0663	
006.296	61.9337	38.0663	
006.360	61.9337	38.0663	
006.420	61.9337	38.0663	
006.485	61.9337	38.0663	
006.545	61.9337	38.0663	
006.609	61.9337	38.0663	
006.672	61.9337	38.0663	
006.733	61.9337	38.0663	
006.807	63.2150	36.7850	
006.870	64.5860	35.4140	
006.930	65.9222	34.0778	
006.995	67.1322	32.8678	
007.053	68.3413	31.6587	
007.116	69.5795	30.4205	
007.181	70.8536	29.1464	
007.236	72.1179	27.8821	
007.305	73.3529	26.6471	
007.370	74.5678	25.4322	
007.430	75.7245	24.2755	
007.494	76.8183	23.1817	
007.553	77.8697	22.1303	
007.617	78.8551	21.1449	
007.681	79.7929	20.2071	
007.741	80.7113	19.2887	
007.807	81.6061	18.3939	
007.864	82.4660	17.5340	
007.923	83.2993	16.7007	
007.988	84.1028	15.8972	
008.052	84.8653	15.1347	
008.115	85.5901	14.4099	
008.181	86.2733	13.7267	
008.240	86.9147	13.0853	
008.305	87.5173	12.4827	
008.367	88.0576	11.9424	
008.428	88.5710	11.4290	
008.492	89.0494	10.9506	
008.551	89.4827	10.5173	
008.616	89.9010	10.0990	
008.680	90.3244	9.6756	
008.739	90.7060	9.2940	
008.803	91.0449	8.9551	
008.870	91.3348	8.6652	
008.928	91.6003	8.3997	
008.993	91.7351	8.2649	
009.051	91.8701	8.1299	
009.117	92.0257	7.9743	
009.183	92.2441	7.7559	
009.240	92.4674	7.5326	
009.304	92.6880	7.3120	
009.368	92.8918	7.1082	
009.427	93.0944	6.9056	
009.492	93.2894	6.7106	
009.554	93.4783	6.5217	
009.617	93.6381	6.3619	
009.680	93.7012	6.2988	
009.731	93.7562	6.2438	
009.795	93.7784	6.2216	
009.872	93.7624	6.2376	
009.929	93.6067	6.3933	
009.986	93.3732	6.6268	
010.042	92.9867	7.0133	
010.105	92.3723	7.6277	
010.169	91.4439	8.5561	
010.229	90.1027	9.8973	
010.293	88.7595	11.2405	
010.357	87.7084	12.2916	
010.417	86.7682	13.2318	
010.481	86.1392	13.8608	
010.541	85.5960	14.4040	
010.605	85.1141	14.8859	
010.669	84.6739	15.3261	
010.729	84.4815	15.5185	
010.793	84.3690	15.6310	
203	 203	 203 
7701	 7701	 7701 
000.052	50.0000	50.0000	
000.113	50.0000	50.0000	
000.177	50.0000	50.0000	
000.242	50.0000	50.0000	
000.305	50.0000	50.0000	
000.364	50.0000	50.0000	
000.424	50.0000	50.0000	
000.493	48.7667	51.2333	
000.556	47.6078	52.3922	
000.616	46.0635	53.9365	
000.680	44.6237	55.3763	
000.740	43.4024	56.5976	
000.804	42.0410	57.9590	
000.860	40.8621	59.1379	
000.919	40.0671	59.9329	
000.985	39.4193	60.5807	
001.059	39.4193	60.5807	
001.118	39.4193	60.5807	
001.181	39.4193	60.5807	
001.244	39.4193	60.5807	
001.301	39.4193	60.5807	
001.366	39.4193	60.5807	
001.423	39.4193	60.5807	
001.495	39.4193	60.5807	
001.549	39.4193	60.5807	
001.617	39.4193	60.5807	
001.677	39.4193	60.5807	
001.736	39.4193	60.5807	
001.800	39.4193	60.5807	
001.867	39.4193	60.5807	
001.928	39.4193	60.5807	
001.987	39.4193	60.5807	
002.053	39.4193	60.5807	
002.115	39.4193	60.5807	
002.179	39.4193	60.5807	
002.240	39.4193	60.5807	
002.303	39.4193	60.5807	
002.366	39.4193	60.5807	
002.425	39.4193	60.5807	
002.484	39.4193	60.5807	
002.556	39.4193	60.5807	
002.617	39.4193	60.5807	
002.674	39.4193	60.5807	
002.740	39.4193	60.5807	
002.807	39.4193	60.5807	
002.865	39.4193	60.5807	
002.926	39.4193	60.5807	
002.989	39.4193	60.5807	
003.053	39.4193	60.5807	
003.113	39.4193	60.5807	
003.177	39.4193	60.5807	
003.237	39.4193	60.5807	
003.301	39.4193	60.5807	
003.366	39.4193	60.5807	
003.429	39.4193	60.5807	
003.492	39.4193	60.5807	
003.556	39.4193	60.5807	
003.617	39.4193	60.5807	
003.681	39.4193	60.5807	
003.732	39.4193	60.5807	
003.807	39.4193	60.5807	
003.861	39.4193	60.5807	
003.918	39.4193	60.5807	
003.983	39.4193	60.5807	
004.060	39.4193	60.5807	
004.120	39.4193	60.5807	
004.177	39.4193	60.5807	
004.236	39.4193	60.5807	
004.305	37.9871	62.0129	
004.369	36.6585	63.3415	
004.430	35.5079	64.4921	
004.496	34.3632	65.6368	
7703	 7703	 7703 
004.554	33.5116	66.4884	
004.608	33.5116	66.4884	
004.674	33.5116	66.4884	
004.734	33.5116	66.4884	
004.798	33.5116	66.4884	
004.863	33.5116	66.4884	
004.924	33.5116	66.4884	
004.987	33.5116	66.4884	
005.050	33.5116	66.4884	
005.111	33.5116	66.4884	
005.174	33.5116	66.4884	
005.235	33.5116	66.4884	
005.298	33.5116	66.4884	
005.362	33.5116	66.4884	
005.422	33.5116	66.4884	
005.481	33.5116	66.4884	
005.551	33.5116	66.4884	
005.610	33.5116	66.4884	
005.671	33.5116	66.4884	
005.734	33.5116	66.4884	
005.798	33.5116	66.4884	
005.862	33.5116	66.4884	
005.926	33.5116	66.4884	
005.981	33.5116	66.4884	
006.045	33.5116	66.4884	
006.105	33.5116	66.4884	
006.169	33.5116	66.4884	
006.229	33.5116	66.4884	
006.293	33.5116	66.4884	
006.357	33.5116	66.4884	
006.417	33.5116	66.4884	
006.481	33.5116	66.4884	
006.546	33.5116	66.4884	
006.606	33.5116	66.4884	
006.670	33.5116	66.4884	
006.730	33.5116	66.4884	
006.794	33.5116	66.4884	
006.858	33.5116	66.4884	
006.918	33.5116	66.4884	
006.982	33.5116	66.4884	
007.046	33.5116	66.4884	
007.110	33.5116	66.4884	
007.170	33.5116	66.4884	
007.230	33.5116	66.4884	
007.294	33.5116	66.4884	
007.358	33.5116	66.4884	
007.418	33.5116	66.4884	
007.483	33.5116	66.4884	
007.546	33.5116	66.4884	
007.610	33.5116	66.4884	
007.671	33.5116	66.4884	
007.742	33.5116	66.4884	
007.807	33.5116	66.4884	
007.869	33.5116	66.4884	
007.928	33.5116	66.4884	
007.993	33.5116	66.4884	
008.057	33.5116	66.4884	
008.111	33.5116	66.4884	
008.182	33.5116	66.4884	
008.242	33.5116	66.4884	
008.305	33.5116	66.4884	
008.369	33.5116	66.4884	
008.429	33.5116	66.4884	
008.493	33.5116	66.4884	
008.556	33.5116	66.4884	
008.620	33.5116	66.4884	
008.681	33.5116	66.4884	
008.741	33.5116	66.4884	
008.805	33.5116	66.4884	
008.869	33.5116	66.4884	
008.928	33.5116	66.4884	
008.993	33.5116	66.4884	
009.057	33.5116	66.4884	
009.122	33.5116	66.4884	
009.181	33.5116	66.4884	
009.241	33.5116	66.4884	
009.304	33.5116	66.4884	
009.369	33.5116	66.4884	
009.429	33.5116	66.4884	
009.492	33.5116	66.4884	
009.559	33.5116	66.4884	
009.621	33.5116	66.4884	
009.683	33.5116	66.4884	
009.734	33.5116	66.4884	
009.808	32.2811	67.7189	
009.870	31.1769	68.8231	
009.924	30.1782	69.8218	
009.993	29.1405	70.8595	
010.057	28.1671	71.8329	
010.121	27.2292	72.7708	
010.181	26.3894	73.6106	
010.232	25.4589	74.5411	
010.295	24.5824	75.4176	
010.359	23.8081	76.1919	
010.430	23.8081	76.1919	
010.494	23.8081	76.1919	
010.558	23.8081	76.1919	
103	 103	 103 
7701	 7701	 7701 
000.038	50.0000	50.0000	
000.102	50.0000	50.0000	
000.162	50.0000	50.0000	
000.229	50.0000	50.0000	
000.294	50.0000	50.0000	
000.356	50.0000	50.0000	
000.411	50.0000	50.0000	
000.475	50.0000	50.0000	
000.539	50.0000	50.0000	
000.598	50.0000	50.0000	
000.659	50.0000	50.0000	
000.728	50.0000	50.0000	
000.791	50.0000	50.0000	
000.854	50.0000	50.0000	
000.916	50.0000	50.0000	
000.971	50.0000	50.0000	
001.035	50.0000	50.0000	
001.102	50.0000	50.0000	
001.163	50.0000	50.0000	
001.230	50.0000	50.0000	
001.286	50.0000	50.0000	
001.353	50.0000	50.0000	
001.412	50.0000	50.0000	
001.472	50.0000	50.0000	
001.536	50.0000	50.0000	
001.600	50.0000	50.0000	
001.660	50.0000	50.0000	
001.724	50.0000	50.0000	
001.790	50.0000	50.0000	
001.849	50.0000	50.0000	
001.916	50.0000	50.0000	
001.979	50.0000	50.0000	
002.032	50.0000	50.0000	
002.106	50.0000	50.0000	
002.165	50.0000	50.0000	
002.223	50.0000	50.0000	
002.287	50.0000	50.0000	
002.355	50.0000	50.0000	
002.416	50.0000	50.0000	
002.465	50.0000	50.0000	
002.540	50.0000	50.0000	
002.603	50.0000	50.0000	
002.653	50.0000	50.0000	
002.728	50.0000	50.0000	
002.792	50.0000	50.0000	
002.856	50.0000	50.0000	
002.916	50.0000	50.0000	
002.968	50.0000	50.0000	
003.040	50.0000	50.0000	
003.105	50.0000	50.0000	
003.153	50.0000	50.0000	
003.228	50.0000	50.0000	
003.281	50.0000	50.0000	
003.345	50.0000	50.0000	
003.416	50.0000	50.0000	
003.476	50.0000	50.0000	
003.535	50.0000	50.0000	
003.598	50.0000	50.0000	
003.664	50.0000	50.0000	
003.727	50.0000	50.0000	
003.791	50.0000	50.0000	
003.854	50.0000	50.0000	
003.914	50.0000	50.0000	
003.974	50.0000	50.0000	
004.037	50.0000	50.0000	
004.102	50.0000	50.0000	
004.164	50.0000	50.0000	
004.226	50.0000	50.0000	
004.289	50.0000	50.0000	
004.347	50.0000	50.0000	
004.412	50.0000	50.0000	
004.472	50.0000	50.0000	
004.531	50.0000	50.0000	
004.605	50.0000	50.0000	
004.657	50.0000	50.0000	
004.728	50.0000	50.0000	
004.784	50.0000	50.0000	
004.855	50.0000	50.0000	
004.909	50.0000	50.0000	
004.977	50.0000	50.0000	
005.032	50.0000	50.0000	
005.104	50.0000	50.0000	
005.164	50.0000	50.0000	
005.220	50.0000	50.0000	
005.291	50.0000	50.0000	
005.350	50.0000	50.0000	
005.406	49.6775	50.3225	
005.476	49.4190	50.5810	
005.533	49.0989	50.9011	
005.597	48.5194	51.4806	
005.659	47.9793	52.0207	
005.723	47.2561	52.7439	
005.794	46.3727	53.6273	
005.856	45.4124	54.5876	
005.920	44.3529	55.6471	
005.974	43.3727	56.6273	
006.038	42.3155	57.6845	
006.102	41.2243	58.7757	
006.161	40.2469	59.7531	
006.225	38.9844	61.0156	
006.298	37.5262	62.4738	
006.359	36.1748	63.8252	
006.406	35.2110	64.7890	
006.480	34.3216	65.6784	
7703	 7703	 7703 
006.537	33.9638	66.0362	
006.595	33.9638	66.0362	
006.656	33.9638	66.0362	
006.721	33.9638	66.0362	
006.785	33.9638	66.0362	
006.848	33.9638	66.0362	
006.908	33.9638	66.0362	
006.968	33.9638	66.0362	
007.027	33.9638	66.0362	
007.096	33.9638	66.0362	
007.158	33.9638	66.0362	
007.221	33.9638	66.0362	
007.284	33.9638	66.0362	
007.348	33.9638	66.0362	
007.408	33.9638	66.0362	
007.469	33.9638	66.0362	
007.532	33.9638	66.0362	
007.596	33.9638	66.0362	
007.656	33.9638	66.0362	
007.721	33.9638	66.0362	
007.784	33.9638	66.0362	
007.849	33.9638	66.0362	
007.909	33.9638	66.0362	
007.968	33.9638	66.0362	
008.033	33.9638	66.0362	
008.096	33.9638	66.0362	
008.156	33.9638	66.0362	
008.221	33.9638	66.0362	
008.284	33.9638	66.0362	
008.348	33.9638	66.0362	
008.408	33.9638	66.0362	
008.468	33.9638	66.0362	
008.540	33.9638	66.0362	
008.604	33.9638	66.0362	
008.663	33.9638	66.0362	
008.728	33.9638	66.0362	
008.790	33.9638	66.0362	
008.854	33.9638	66.0362	
008.914	33.9638	66.0362	
008.975	33.9638	66.0362	
009.034	33.9638	66.0362	
009.103	33.9638	66.0362	
009.164	33.9638	66.0362	
009.227	33.9638	66.0362	
009.290	33.9638	66.0362	
009.356	33.9638	66.0362	
009.416	33.9638	66.0362	
009.476	33.9638	66.0362	
009.539	33.9638	66.0362	
009.604	33.9638	66.0362	
009.663	33.9638	66.0362	
009.727	33.9638	66.0362	
009.792	33.9638	66.0362	
009.856	33.9638	66.0362	
009.919	33.9638	66.0362	
009.978	33.9638	66.0362	
010.028	33.9638	66.0362	
010.101	33.9638	66.0362	
010.165	33.9638	66.0362	
010.223	33.9638	66.0362	
010.288	34.3340	65.6660	
010.352	34.6473	65.3527	
010.413	35.0424	64.9576	
010.472	35.2066	64.7934	
010.536	35.5618	64.4382	
010.600	35.8599	64.1401	
010.660	36.0218	63.9782	
010.728	36.2461	63.7539	
010.791	36.5648	63.4352	
010.856	36.9263	63.0737	
010.916	37.1852	62.8148	
010.974	37.1852	62.8148	
011.040	37.1852	62.8148	
011.101	37.1852	62.8148	
011.161	37.1852	62.8148	
011.226	37.1852	62.8148	
011.292	37.1852	62.8148	
011.355	37.1852	62.8148	
011.414	37.1852	62.8148	
011.474	37.1852	62.8148	
011.538	37.1852	62.8148	
011.602	37.1852	62.8148	
011.662	37.1852	62.8148	
011.726	37.1852	62.8148	
011.789	37.1852	62.8148	
011.854	37.1852	62.8148	
011.914	37.1852	62.8148	
011.974	37.1852	62.8148	
012.040	37.0474	62.9526	
012.094	36.9547	63.0453	
012.154	36.9547	63.0453	
012.217	36.9547	63.0453	
012.282	36.9547	63.0453	
012.355	36.9547	63.0453	
012.416	36.9547	63.0453	
012.475	36.9547	63.0453	
012.539	36.9547	63.0453	
103	 103	 103 
7691	 7691	 7691 
000.013	50.0000	50.0000	
000.078	50.0000	50.0000	
000.151	50.0000	50.0000	
000.214	50.0000	50.0000	
000.265	50.0000	50.0000	
000.330	50.0000	50.0000	
000.404	50.0000	50.0000	
000.465	50.0000	50.0000	
000.517	50.0000	50.0000	
000.587	50.0000	50.0000	
000.652	50.0000	50.0000	
000.704	50.0000	50.0000	
000.775	50.0000	50.0000	
000.840	50.0000	50.0000	
000.902	50.0000	50.0000	
000.965	50.0000	50.0000	
001.018	50.0000	50.0000	
001.082	50.0000	50.0000	
001.149	50.0000	50.0000	
001.201	50.0000	50.0000	
001.265	50.0618	49.9383	
001.340	50.0673	49.9327	
001.405	49.8483	50.1517	
001.465	49.7176	50.2824	
001.525	50.0620	49.9380	
001.589	50.3251	49.6749	
001.654	50.3052	49.6948	
001.714	49.5944	50.4056	
001.768	48.7201	51.2799	
001.841	47.5532	52.4468	
001.897	46.3088	53.6912	
001.959	45.1623	54.8377	
002.024	44.0538	55.9462	
002.081	43.2960	56.7040	
002.155	43.1304	56.8696	
002.204	43.0856	56.9144	
002.279	43.4315	56.5685	
002.343	44.2916	55.7084	
002.404	45.2278	54.7722	
002.461	46.2266	53.7734	
002.521	47.0237	52.9763	
002.584	47.9642	52.0358	
002.649	48.9140	51.0860	
002.709	49.5650	50.4350	
002.765	50.4142	49.5858	
002.842	51.5680	48.4320	
002.906	52.6554	47.3446	
002.965	53.6251	46.3749	
003.017	54.7922	45.2078	
003.090	55.9962	44.0038	
003.153	56.2673	43.7327	
003.202	56.3438	43.6562	
003.265	56.3642	43.6358	
003.332	56.3669	43.6331	
003.405	56.6654	43.3346	
003.466	57.1706	42.8294	
003.516	58.0641	41.9359	
003.588	58.8616	41.1384	
003.647	59.4397	40.5603	
003.708	60.2070	39.7930	
7693	 7693	 7693 
003.772	61.0478	38.9522	
003.832	61.0478	38.9522	
003.896	61.0478	38.9522	
003.957	61.0478	38.9522	
004.016	61.0478	38.9522	
004.081	61.0478	38.9522	
004.144	61.0478	38.9522	
004.205	61.0478	38.9522	
004.270	61.0478	38.9522	
004.332	61.0478	38.9522	
004.396	61.0478	38.9522	
004.458	61.0478	38.9522	
004.517	61.0478	38.9522	
004.580	61.0478	38.9522	
004.644	61.0478	38.9522	
004.704	61.0478	38.9522	
004.770	61.0478	38.9522	
004.833	61.0478	38.9522	
004.896	61.0478	38.9522	
004.956	61.0478	38.9522	
005.018	61.0478	38.9522	
005.075	61.0478	38.9522	
005.140	61.0478	38.9522	
005.204	61.0478	38.9522	
005.269	61.0478	38.9522	
005.333	61.0478	38.9522	
005.396	61.0478	38.9522	
005.458	61.0478	38.9522	
005.517	61.0478	38.9522	
005.580	61.0478	38.9522	
005.645	61.0478	38.9522	
005.706	61.0478	38.9522	
005.778	60.3537	39.6463	
005.841	59.2530	40.7470	
005.905	57.1456	42.8544	
005.966	55.0551	44.9449	
006.025	53.0695	46.9305	
006.088	51.2576	48.7424	
202	 202	 202 
7691	 7691	 7691 
000.048	50.0000	50.0000	
000.093	50.0000	50.0000	
000.163	50.0000	50.0000	
000.232	50.0000	50.0000	
000.287	50.0000	50.0000	
000.347	50.0000	50.0000	
000.418	50.0000	50.0000	
000.482	50.0000	50.0000	
000.538	50.0000	50.0000	
000.599	50.0000	50.0000	
000.658	50.0000	50.0000	
000.726	50.0000	50.0000	
000.786	50.0000	50.0000	
000.846	50.0000	50.0000	
000.910	50.0000	50.0000	
000.974	50.0000	50.0000	
001.043	50.0000	50.0000	
001.106	50.0000	50.0000	
001.158	50.0000	50.0000	
001.230	50.0000	50.0000	
001.280	50.0000	50.0000	
001.348	50.0000	50.0000	
001.414	50.0000	50.0000	
001.477	50.0000	50.0000	
001.541	50.0000	50.0000	
001.602	50.0000	50.0000	
001.662	50.0000	50.0000	
001.729	50.0000	50.0000	
001.791	50.0000	50.0000	
001.847	50.2027	49.7973	
001.914	50.6811	49.3189	
001.978	51.0652	48.9348	
002.041	51.0419	48.9581	
002.102	50.9193	49.0807	
002.161	51.0705	48.9295	
002.231	51.2130	48.7870	
002.290	51.2862	48.7138	
002.345	51.6906	48.3094	
002.410	51.6906	48.3094	
002.475	51.6906	48.3094	
002.532	51.6906	48.3094	
002.604	51.6906	48.3094	
002.662	51.6906	48.3094	
002.726	51.6906	48.3094	
002.785	51.6906	48.3094	
002.846	51.6906	48.3094	
002.911	51.6906	48.3094	
002.980	51.6906	48.3094	
003.043	51.6906	48.3094	
003.099	51.6906	48.3094	
003.159	51.6906	48.3094	
003.232	51.6906	48.3094	
003.290	51.6906	48.3094	
003.352	51.6906	48.3094	
003.416	52.4908	47.5092	
003.472	53.4509	46.5491	
003.546	54.4902	45.5098	
003.603	55.6624	44.3376	
003.656	57.0264	42.9736	
003.734	58.5179	41.4821	
003.792	60.1224	39.8776	
7693	 7693	 7693 
003.844	61.7622	38.2378	
003.902	61.7622	38.2378	
003.966	61.7622	38.2378	
004.030	61.7622	38.2378	
004.090	61.7622	38.2378	
004.150	61.7622	38.2378	
004.218	61.7622	38.2378	
004.278	61.7622	38.2378	
004.338	61.7622	38.2378	
004.402	61.7622	38.2378	
004.466	61.7622	38.2378	
004.530	61.7622	38.2378	
004.590	61.7622	38.2378	
004.651	61.7622	38.2378	
004.718	61.7622	38.2378	
004.778	61.7622	38.2378	
004.838	61.7622	38.2378	
004.902	61.7622	38.2378	
004.966	61.7622	38.2378	
005.030	61.7622	38.2378	
005.090	61.7622	38.2378	
005.150	61.7622	38.2378	
005.218	61.7622	38.2378	
005.279	61.7622	38.2378	
005.338	61.7622	38.2378	
005.402	61.7622	38.2378	
005.467	61.7622	38.2378	
005.530	61.7622	38.2378	
